2ちゃんねる	にチャンネル
見附ける	みっける
見附ける	みつける
見附る	みっける
見附る	みつける
見限る	みかぎる
見隠す	みかくす
見隠る	みがくる
見隱す	みかくす
見隱る	みがくる
見集む	みあつむ
見離す	みはなす
見難い	みにくい
見霽かす	みはるかす
見霽るかす	みはるかす
見顕す	みあらわす
見顕わす	みあらわす
見顯す	みあらわす
見飽きる	みあきる
見飽く	みあく
見馴らす	みならす
見馴らふ	みならう
見馴れる	みなれる
規す	きす
規則で縛る	きそくでしばる
規則に従う	きそくにしたがう
規則を守る	きそくをまもる
規則を破る	きそくをやぶる
規則正い	きそくただしい
規則正しい	きそくただしい
規則立つ	きそくだつ
規律正しい	きりつただしい
覓ぐ	まぐ
覓む	とむ
覔ぐ	まぐ
覔む	とむ
視する	しする
視る	みる
視線を注ぐ	しせんをそそぐ
視線を浴びる	しせんをあびる
視野に入れる	しやにいれる
視野の狭い	しやのせまい
覗う	うかがう
覗かす	のぞかす
覗かせる	のぞかせる
覗きこむ	のぞきこむ
覗きみる	のぞきみる
覗き見る	のぞきみる
覗き込む	のぞきこむ
覗く	のぞく
覗ける	のぞける
覘かす	のぞかす
覘かせる	のぞかせる
覘く	のぞく
覚えがめでたい	おぼえがめでたい
覚えこむ	おぼえこむ
覚えず	おぼえず
覚える	おぼえる
覚え易い	おぼえやすい
覚え込む	おぼえこむ
覚ます	さます
覚む	さむ
覚めやらぬ	さめやらぬ
覚める	さめる
覚め遣らぬ	さめやらぬ
覚ゆ	おぼゆ
覚りが早い	さとりがはやい
覚る	さとる
覚悟を決める	かくごをきめる
覚束ない	おぼつかない
覚束ない	かくそくない
覚束ない	おぼつかない
覚束無い	おぼつかない
覚束無い	かくそくない
覚込む	おぼえこむ
覧る	みる
親がる	おやがる
親げない	おやげない
親しい	したしい
親しい	ちかしい
親しく	したしく
親しみやすい	したしみやすい
親しみ易い	したしみやすい
親しみ深い	したしみぶかい
親しむ	したしむ
親の心子知らず	おやのこころこしらず
親の脛を囓る	おやのすねをかじる
親の脛を齧る	おやのすねをかじる
親めく	おやめく
親を苦しめる	おやをくるしめる
親交を深める	しんこうをふかめる
親子広い	おやこびろい
親思い	おやおもい
親権争い	しんけんあらそい
親知らず	おやしらず
親立つ	おやだつ
親舩に乘ったよう	おやぶねにのったよう
親船に乗ったよう	おやぶねにのったよう
親船に乘ったよう	おやぶねにのったよう
親許を離れる	おやもとをはなれる
親類づきあい	しんるいづきあい
親類付き合い	しんるいづきあい
親類付合い	しんるいづきあい
親風を吹かす	おやかぜをふかす
親類付き合い	しんるいづきあい
親類付合い	しんるいづきあい
観じる	かんじる
観ずる	かんずる
観点を変える	かんてんをかえる
覺えず	おぼえず
覺える	おぼえる
覺え込む	おぼえこむ
覺しい	おぼしい
覺ます	さます
覺む	さむ
覺める	さめる
覺め遣らぬ	さめやらぬ
覺ゆ	おぼゆ
覺る	さとる
覺束ない	おぼつかない
覺束ない	かくそくない
覺束無い	おぼつかない
角々しい	かどかどしい
角い	かくい
角が取れる	かどがとれる
角が立つ	かどがたつ
角ぐむ	つのぐむ
角す	かくす
角ばる	かくばる
角めく	かどめく
角を出す	つのをだす
角を折る	つのをおる
角を矯めて牛を殺す	つのをためてうしをころす
角付合い	つのつきあい
角取る	すみとる
角張る	かくばる
角張る	かどばる
角抜く	すみぬく
角水を突く	すみずをつく
角番に立つ	かどばんにたつ
角目突合い	つのめづきあい
角目立つ	つのめだつ
角突き合い	つのつきあい
角突き合わせる	つのつきあわせる
角立つ	かどだつ
角立てる	かどだてる
角角しい	かどかどしい
角突き合い	つのつきあい
角突き合わせる	つのつきあわせる
角突合い	つのつきあい
觝ふ	つきしろう
解かす	とかす
解きがたい	ときがたい
解きほぐす	ときほぐす
解きほどく	ときほどく
解き交す	ときかわす
解き交はす	ときかわす
解き交ふ	ときかう
解き分ける	ときわける
解き放く	ときさく
解き放す	ときはなす
解き放つ	ときはなつ
解き明かす	ときあかす
解き明す	ときあかす
解き替ふ	ときかう
解き洗い	ときあらい
解き解す	ときほぐす
解き離す	ときはなす
解き難い	ときがたい
解く	とく
解く	ほどく
解く	とく
解く	ほどく
解ける	とける
解ける	ほどける
解け合い	とけあい
解け合う	とけあう
解け込む	とけこむ
解ごす	ほごす
解す	ほぐす
解す	ほごす
解す	ほつす
解する	かいする
解せない	げせない
解せる	げせる
解ほごす	ときほごす
解ほどく	ときほどく
解らく	とくらく
解る	わかる
解れる	ほぐれる
解れる	ほごれる
解れる	ほつれる
解れる	ほぐれる
解れる	ほごれる
解れる	ほつれる
解を示す	かいをしめす
解んない	わかんない
解合い	とけあい
解合う	とけあう
解放す	ときはなす
解放つ	ときはなつ
解明かす	ときあかす
解明す	ときあかす
解解す	ときほぐす
解込む	とけこむ
解離す	ときはなす
解難い	ときがたい
触らす	ふらす
触らばふ	ふらばう
触り合う	ふりあう
触る	さわる
触れあう	ふれあう
触ればふ	ふればう
触れる	ふれる
触れ合い	ふれあい
触れ合う	ふれあう
触れ回る	ふれまわる
触れ散らす	ふれちらす
触れ歩く	ふれあるく
触れ流す	ふれながす
触れ渡す	ふれわたす
触れ込む	ふれこむ
触合い	ふれあい
触合う	ふりあう
触合う	ふれあう
触合う	ふりあう
触合う	ふれあう
触回る	ふれまわる
触手を伸ばす	しょくしゅをのばす
触散らす	ふれちらす
触歩く	ふれあるく
触込む	ふれこむ
觧かす	とかす
觧きほぐす	ときほぐす
觧き交はす	ときかわす
觧き交ふ	ときかう
觧き放く	ときさく
觧き放す	ときはなす
觧き放つ	ときはなつ
觧き替ふ	ときかう
觧き朙かす	ときあかす
觧き洗い	ときあらい
觧き離す	ときはなす
觧く	とく
觧く	ほどく
觧ける	とける
觧ける	ほどける
觧け合い	とけあい
觧け合う	とけあう
觧け込む	とけこむ
觧す	かいす
觧す	げす
觧す	ほぐす
觧す	ほごす
觧す	ほつす
觧する	かいする
觧せない	げせない
觧せる	げせる
觧る	ぬる
觧る	はつる
觧る	ほぐる
觧る	ほつる
觧る	わかる
觧れる	ほぐれる
觧れる	ほごれる
觧れる	ほつれる
觧合い	とけあい
觧合う	とけあう
觧放す	ときはなす
觧放つ	ときはなつ
觧朙かす	ときあかす
觧洗い	ときあらい
觧込む	とけこむ
觧離す	ときはなす
觸らす	ふらす
觸らばふ	ふらばう
觸り合う	ふりあう
觸る	さわる
觸る	ふる
觸ればふ	ふればう
觸れる	ふれる
觸れ合い	ふれあい
觸れ合う	ふれあう
觸れ囘る	ふれまわる
觸れ回る	ふれまわる
觸れ散らす	ふれちらす
觸れ步く	ふれあるく
觸れ込む	ふれこむ
觸合い	ふれあい
觸合う	ふりあう
觸合う	ふれあう
觸囘る	ふれまわる
觸回る	ふれまわる
觸手を伸ばす	しょくしゅをのばす
觸散らす	ふれちらす
觸步く	ふれあるく
觸込む	ふれこむ
言々火を吐く	げんげんひをはく
言々肺腑を衝く	げんげんはいふをつく
言いかえる	いいかえる
言いかけてやめる	いいかけてやめる
言いかける	いいかける
言いかねる	いいかねる
言いがかりをつける	いいがかりをつける
言いがかりを付ける	いいがかりをつける
言いがたい	いいがたい
言いがたい	いいにくい
言いきかせる	いいきかせる
言いきる	いいきる
言いきれない	いいきれない
言いくるめる	いいくるめる
言いけらく	いいけらく
言いこなす	いいこなす
言いさす	いいさす
言いすぎる	いいすぎる
言いそこない	いいそこない
言いそこなう	いいそこなう
言いそそくれる	いいそそくれる
言いそびれる	いいそびれる
言いたす	いいたす
言いたてる	いいたてる
言いだす	いいだす
言いつかる	いいつかる
言いつくろう	いいつくろう
言いつける	いいつける
言いつのる	いいつのる
言いづらい	いいづらい
言いなおす	いいなおす
言いなす	いいなす
言いなりになる	いいなりになる
言いにくい	いいがたい
言いにくい	いいにくい
言いはやす	いいはやす
言いはる	いいはる
言いふらす	いいふらす
言いまくる	いいまくる
言いやる	いいやる
言いよう	いいざま
言いよう	いいよう
言いようがない	いいようがない
言いようのない	いいようのない
言いよどむ	いいよどむ
言いよる	いいよる
言い中てる	いいあてる
言い丸める	いいまるめる
言い争い	いいあらそい
言い争う	いいあらそう
言い交す	いいかわす
言い交わす	いいかわす
言い付かる	いいつかる
言い付ける	いいつける
言い伏せる	いいふせる
言い伝える	いいつたえる
言い作す	いいなす
言い做す	いいなす
言い傳える	いいつたえる
言い入れる	いいいれる
言い兼ねない	いいかねない
言い兼ねる	いいかねる
言い出す	いいだす
言い分ける	いいわける
言い切る	いいきる
言い切れない	いいきれない
言い励ます	いいはげます
言い勝つ	いいかつ
言い募る	いいつのる
言い勵ます	いいはげます
言い包める	いいくるめる
言い及ぶ	いいおよぶ
言い古す	いいふるす
言い合い	いいあい
言い合う	いいあう
言い合せる	いいあわせる
言い合わす	いいあわす
言い合わせる	いいあわせる
言い含める	いいふくめる
言い吿げる	いいつげる
言い告げる	いいつげる
言い囃す	いいはやす
言い囘す	いいまわす
言い回す	いいまわす
言い固める	いいかためる
言い始める	いいはじめる
言い寄る	いいよる
言い尽くす	いいつくす
言い尽す	いいつくす
言い広める	いいひろめる
言い廣める	いいひろめる
言い張る	いいはる
言い当てる	いいあてる
言い後れる	いいおくれる
言い忘れる	いいわすれる
言い悩む	いいなやむ
言い惱む	いいなやむ
言い慣らす	いいならす
言い慣れる	いいなれる
言い慣わす	いいならわす
言い抜ける	いいぬける
言い拔ける	いいぬける
言い拵える	いいこしらえる
言い捨てる	いいすてる
言い捲る	いいまくる
言い掛かりをつける	いいがかりをつける
言い掛かる	いいかかる
言い掛けて止める	いいかけてやめる
言い掛ける	いいかける
言い換える	いいかえる
言い損い	いいそこない
言い損う	いいそこなう
言い損ない	いいそこない
言い損なう	いいそこなう
言い改める	いいあらためる
言い放す	いいはなす
言い放つ	いいはなつ
言い散す	いいちらす
言い散らす	いいちらす
言い旧す	いいふるす
言い暮す	いいくらす
言い暮らす	いいくらす
言い曲げる	いいまげる
言い替える	いいかえる
言い様がない	いいようがない
言い様のない	いいようのない
言い止す	いいさす
言い止む	いいやむ
言い步く	いいあるく
言い歩く	いいあるく
言い残す	いいのこす
言い殘す	いいのこす
言い洩らす	いいもらす
言い流す	いいながす
言い消す	いいけす
言い淀む	いいよどむ
言い添える	いいそえる
言い渋る	いいしぶる
言い渡す	いいわたす
言い滑らす	いいすべらす
言い漏す	いいもらす
言い漏らす	いいもらす
言い澀る	いいしぶる
言い澁る	いいしぶる
言い熟す	いいこなす
言い爭い	いいあらそい
言い爭う	いいあらそう
言い現す	いいあらわす
言い當てる	いいあてる
言い白ける	いいしらける
言い盡くす	いいつくす
言い盡す	いいつくす
言い直す	いいなおす
言い知れず	いいしれず
言い知れない	いいしれない
言い知れぬ	いいしれぬ
言い破る	いいやぶる
言い立てる	いいたてる
言い竦める	いいすくめる
言い篭める	いいこめる
言い籠める	いいこめる
言い紛らす	いいまぎらす
言い紛らわす	いいまぎらわす
言い終える	いいおえる
言い終わる	いいおわる
言い継ぐ	いいつぐ
言い続ける	いいつづける
言い繕う	いいつくろう
言い繼ぐ	いいつぐ
言い續ける	いいつづける
言い置く	いいおく
言い罵る	いいののしる
言い習わす	いいならわす
言い聞かす	いいきかす
言い聞かせる	いいきかせる
言い腐す	いいくさす
言い舊す	いいふるす
言い落す	いいおとす
言い落とす	いいおとす
言い表す	いいあらわす
言い表せる	いいあらわせる
言い表わす	いいあらわす
言い被せる	いいかぶせる
言い解く	いいとく
言い解く	いいほどく
言い触らす	いいふらす
言い觸らす	いいふらす
言い訳がましい	いいわけがましい
言い訳が立たない	いいわけがたたない
言い訳が立つ	いいわけがたつ
言い詰める	いいつめる
言い語らう	いいかたらう
言い誤る	いいあやまる
言い諭す	いいさとす
言い負かす	いいまかす
言い負ける	いいまける
言い越す	いいこす
言い足す	いいたす
言い辛い	いいづらい
言い込む	いいこむ
言い込める	いいこめる
言い返す	いいかえす
言い迯れる	いいのがれる
言い退ける	いいのける
言い送る	いいおくる
言い逃れる	いいのがれる
言い通す	いいとおす
言い連ねる	いいつらねる
言い逸らす	いいはぐらす
言い逸れる	いいそびれる
言い逸れる	いいはぐれる
言い遅れる	いいおくれる
言い過ぎる	いいすぎる
言い過ごす	いいすごす
言い違い	いいちがい
言い違う	いいちがう
言い違える	いいたがえる
言い違える	いいちがえる
言い遣る	いいやる
言い遲れる	いいおくれる
言い開く	いいひらく
言い閒違い	いいまちがい
言い間違い	いいまちがい
言い難い	いいがたい
言い難い	いいにくい
言い顕す	いいあらわす
言い顯す	いいあらわす
言い馴らす	いいならす
言い馴れる	いいなれる
言う	いう
言うにやおよぶ	いうにやおよぶ
言うにや及ぶ	いうにやおよぶ
言うに及ばず	いうにおよばず
言うに言われない	いうにいわれない
言うに言われぬ	いうにいわれぬ
言うまでもない	いうまでもない
言う事を聞かない	いうことをきかない
言う事を聞く	いうことをきく
言えらく	いえらく
言える	いえる
言おこす	いいおこす
言く	いわく
言けらく	いい
言さがす	いいさがす
言さへく	ことさえく
言さやぐ	ことさやぐ
言しい	いいしい
言ずらう	いいずらう
言そそく	いいそそく
言った言わない	いったいわない
言ってのける	いってのける
言って退ける	いってのける
言っ付ける	いっつける
言はぐらす	いいはぐらす
言はまく	いわまく
言はれざる	いわれざる
言はれぬ	いわれぬ
言ひけらく	いいけらく
言ひしろふ	いいしろう
言ひ上ぐ	いいあぐ
言ひ上す	いいのぼす
言ひ下す	いいくだす
言ひ丸む	いいまろむ
言ひ乱る	いいみだる
言ひ亂る	いいみだる
言ひ争ふ	いいあらがう
言ひ付く	いいつく
言ひ伝て来らく	いいつてくらく
言ひ侘ぶ	いいわぶ
言ひ係ふ	いいかかずらう
言ひ催す	いいもよおす
言ひ入る	いいいる
言ひ出す	いいいだす
言ひ出だす	いいいだす
言ひ出づ	いいいず
言ひ分く	いいわく
言ひ初む	いいそむ
言ひ励ます	いいはげます
言ひ包む	いいくろむ
言ひ取る	いいとる
言ひ叶ふ	いいかなう
言ひ名付く	いいなづく
言ひ含む	いいくくむ
言ひ契る	いいちぎる
言ひ定む	いいさだむ
言ひ屈ず	いいくんず
言ひ崩す	いいくずす
言ひ広ぐ	いいひろぐ
言ひ延ぶ	いいのぶ
言ひ弄る	いいまさぐる
言ひ扱ふ	いいあつかう
言ひ拵ふ	いいこしらう
言ひ掛かる	いいかかる
言ひ掠む	いいかすむ
言ひ揚がる	いいあがる
言ひ放く	いいさく
言ひ昂る	いいあがる
言ひ明かす	いいあかす
言ひ晴く	いいはるく
言ひ朞す	いいきす
言ひ期す	いいきす
言ひ朽す	いいくたす
言ひ果つ	いいはつ
言ひ構ふ	いいかまう
言ひ步く	いいありく
言ひ歩く	いいありく
言ひ汚す	いいけがす
言ひ消つ	いいけつ
言ひ減らす	いいへらす
言ひ渡る	いいわたる
言ひ煩ふ	いいわずらう
言ひ留む	いいとどむ
言ひ知らず	いいしらず
言ひ知る	いいしる
言ひ立つ	いいたつ
言ひ紛ふ	いいまがう
言ひ絶ゆ	いいたゆ
言ひ纏はす	いいまつわす
言ひ罵る	いいののしる
言ひ腐す	いいくたす
言ひ荒ぶ	いいすさぶ
言ひ被る	いいかぶる
言ひ解く	いいとく
言ひ解く	いいほどく
言ひ解く	いいとく
言ひ解す	いいほぐす
言ひ触る	いいふる
言ひ觧く	いいとく
言ひ觧す	いいほぐす
言ひ觸る	いいふる
言ひ認む	いいしたたむ
言ひ語らふ	いいかたらう
言ひ調ふ	いいととのう
言ひ論ふ	いいずらう
言ひ論ふ	いいづらう
言ひ負す	いいおおす
言ひ迎ふ	いいむかう
言ひ逆ふ	いいむかう
言ひ通ふ	いいかよう
言ひ通る	いいとおる
言ひ遊ぶ	いいすさぶ
言ひ過す	いいそす
言ひ過つ	いいあやまつ
言ひ違ふ	いいたがう
言ひ遣す	いいおこす
言ひ隠す	いいかくす
言ひ集む	いいあつむ
言ふならく	いうならく
言やる	いやる
言る	いわる
言わしめる	いわしめる
言わす	いわす
言わず語らず	いわずかたらず
言わせておく	いわせておく
言わせる	いわせる
言わぬは言うに優る	いわぬはいうにまさる
言わんこっちゃない	いわんこっちゃない
言わんとする	いわんとする
言を俟たない	げんをまたない
言を守る	げんをまもる
言を左右にする	げんをさゆうにする
言丸める	いいまるめる
言乞い	ことこい
言争い	いいあらそい
言争う	いいあらそう
言交す	いいかわす
言交わす	いいかわす
言付かる	いいつかる
言付かる	ことづかる
言付かる	いいつかる
言付かる	ことづかる
言付ける	いいつける
言付ける	ことづける
言付ける	いいつける
言付ける	ことづける
言付る	ことづかる
言伏せる	いいふせる
言伝える	いいつたえる
言伝つ	ことづつ
言做す	いいなす
言入れる	いいいれる
言兼ねない	いいかねない
言兼ねる	いいかねる
言出す	いいだす
言分ける	いいわける
言切る	いいきる
言別く	ことわく
言加う	ことくわう
言加ふ	ことくわう
言励ます	いいはげます
言勝つ	いいかつ
言募る	いいつのる
言勵ます	いいはげます
言及ぶ	いいおよぶ
言古す	いいふるす
言合い	いいあい
言合う	いいあう
言合す	いいあわす
言合せる	いいあわせる
言向く	ことむく
言含める	いいふくめる
言吿ぐ	ことつぐ
言吿げる	いいつげる
言告げる	いいつげる
言問う	こととう
言問ふ	こととう
言問ふ	こととふ
言喧く	ことさえく
言喧ぐ	ことさやぐ
言囃す	いいはやす
言囘す	いいまわす
言回す	いいまわす
言固める	いいかためる
言好がる	ことよがる
言始める	いいはじめる
言寄さす	ことよさす
言寄す	ことよす
言寄せる	ことよせる
言寄る	いいよる
言尽くす	いいつくす
言尽す	いいつくす
言広める	いいひろめる
言廣める	いいひろめる
言張る	いいはる
言当てる	いいあてる
言後れる	いいおくれる
言忘れる	いいわすれる
言悖りて出ずればまた悖りて入る	こともとりていずればまたもとりている
言悩む	いいなやむ
言惱む	いいなやむ
言慣らす	いいならす
言慣れる	いいなれる
言慣わす	いいならわす
言成す	ことなす
言抜ける	いいぬける
言拔ける	いいぬける
言捨てる	いいすてる
言捲る	いいまくる
言掛けて止める	いいかけてやめる
言掛ける	いいかける
言換える	いいかえる
言損う	いいそこなう
言損ない	いいそこない
言放す	いいはなす
言放つ	いいはなつ
言散す	いいちらす
言散らす	いいちらす
言旧す	いいふるす
言暮す	いいくらす
言暮らす	いいくらす
言替える	いいかえる
言様がない	いいようがない
言止す	いいさす
言止む	ことやむ
言步く	いいあるく
言歩く	いいあるく
言残す	いいのこす
言殘す	いいのこす
言消す	いいけす
言淀む	いいよどむ
言添える	いいそえる
言渋る	いいしぶる
言渡す	いいわたす
言滑らす	いいすべらす
言漏す	いいもらす
言漏らす	いいもらす
言爭い	いいあらそい
言爭う	いいあらそう
言當てる	いいあてる
言白ける	いいしらける
言直す	いいなおす
言直す	ことなおす
言直す	いいなおす
言知れず	いいしれず
言知れない	いいしれない
言知れぬ	いいしれぬ
言破る	いいやぶる
言祝い	ことほがい
言祝ぐ	ことほぐ
言立つ	ことだつ
言立てる	いいたてる
言籠める	いいこめる
言紛す	いいまぎらす
言紛らす	いいまぎらす
言紛らわす	いいまぎらわす
言終わる	いいおわる
言結ぶ	ことむすぶ
言絕ゆ	ことたゆ
言継う	いいつがう
言継ぐ	いいつぐ
言続ける	いいつづける
言繕う	いいつくろう
言繼ぐ	いいつぐ
言續ける	いいつづける
言置く	いいおく
言罵る	いいののしる
言習わす	いいならわす
言聞かす	いいきかす
言聞かせる	いいきかせる
言聞せる	いいきかせる
言腐す	いいくさす
言舊る	ことふる
言落す	いいおとす
言葉からかい	ことばからかい
言葉が過ぎる	ことばがすぎる
言葉に余る	ことばにあまる
言葉に甘える	ことばにあまえる
言葉に詰まる	ことばにつまる
言葉に針を持つ	ことばにはりをもつ
言葉を交わす	ことばをかわす
言葉を尽くす	ことばをつくす
言葉を掛ける	ことばをかける
言葉を濁す	ことばをにごす
言葉を返す	ことばをかえす
言葉を飾る	ことばをかざる
言葉を餝る	ことばをかざる
言葉を﨤す	ことばをかえす
言葉を卑くする	ことばをひくくする
言葉㞍を捕らえる	ことばじりをとらえる
言葉争い	ことばあらそい
言葉使い	ことばづかい
言葉尻を捕らえる	ことばじりをとらえる
言葉戦い	ことばたたかい
言葉戦い	ことばだたかい
言葉戰い	ことばだたかい
言葉爭い	ことばあらそい
言葉足らず	ことばたらず
言葉遣い	ことばづかい
言表す	いいあらわす
言表わす	いいあらわす
言被せる	いいかぶせる
言解く	いいとく
言触らす	いいふらす
言許す	ことゆるす
言詰める	いいつめる
言語に絕する	げんごにぜっする
言語に絕する	ごんごにぜっする
言語に絶する	げんごにぜっする
言語に絶する	ごんごにぜっする
言語に絶する	げんごにぜっする
言誤る	いいあやまる
言論を封殺する	げんろんをふうさつする
言諭す	いいさとす
言負かす	いいまかす
言負ける	いいまける
言負す	いいまかす
言越す	いいこす
言趣く	ことむく
言足す	いいたす
言辛い	いいづらい
言込む	いいこむ
言込める	いいこめる
言返す	いいかえす
言送る	いいおくる
言逃れる	いいのがれる
言通す	いいとおす
言連ねる	いいつらねる
言遅れる	いいおくれる
言過ぎる	いいすぎる
言違い	いいちがい
言違う	いいちがう
言違える	いいちがえる
言遣る	いいやる
言遲れる	いいおくれる
言開く	いいひらく
言閒違い	いいまちがい
言間違い	いいまちがい
言難い	いいがたい
言難い	いいにくい
言難い	いいがたい
言駡る	いいののしる
言騒ぐ	ことさやぐ
言騷ぐ	ことさやぐ
言𣷹える	いいそえる
言𦾔る	ことふる
言﨤す	いいかえす
言祝ぐ	ことほぐ
言難い	いいがたい
訂す	ただす
訂する	ていする
計い	はからい
計う	はからう
計らい	はからい
計らう	はからう
計らず	はからず
計りにかける	はかりにかける
計り兼ねる	はかりかねる
計り知る	はかりしる
計り知れない	はかりしれない
計り込む	はかりこむ
計る	はかる
計画をたてる	けいかくをたてる
計画を実行する	けいかくをじっこうする
計画を立てる	けいかくをたてる
計画を進める	けいかくをすすめる
計略に乗る	けいりゃくにのる
計知れない	はかりしれない
計算ずく	けいさんずく
計算ずく	けいさんづく
計算づく	けいさんずく
計算づく	けいさんづく
計算に入れる	けいさんにいれる
計算尽く	けいさんずく
計算尽く	けいさんづく
計算尽く	けいさんずく
計算盡く	けいさんずく
計算違い	けいさんちがい
計算高い	けいさんだかい
計込む	はかりこむ
訊き返す	ききかえす
訊く	きく
訊ぬ	たずぬ
訊ねる	たずねる
討ず	とうず
討ち入る	うちいる
討ち取る	うちとる
討ち合う	うちあう
討ち平らげる	うちたいらげる
討ち払う	うちはらう
討ち散らす	うちちらす
討ち果す	うちはたす
討ち果たす	うちはたす
討ち止める	うちとめる
討ち滅ぼす	うちほろぼす
討ち漏らす	うちもらす
討ち破る	うちやぶる
討つ	うつ
討入る	うちいる
討取る	うちとる
討散らす	うちちらす
討果す	うちはたす
討果たす	うちはたす
討止める	うちとめる
討滅す	うちほろぼす
討滅ぼす	うちほろぼす
討漏らす	うちもらす
討破る	うちやぶる
訓える	おしえる
訓じる	くんじる
訓ずる	くんずる
訓み下す	よみくだす
訓む	よむ
訖ぬ	おわんぬ
託かる	ことづかる
託く	かこつく
託ける	かこつける
託ける	ことづける
託す	たくす
託する	たくする
託ち寄す	かこちよす
託ち寄る	かこちよる
託つ	かこつ
託つける	かこつける
託る	ことづかる
託言がましい	かごとがましい
記す	しるす
記する	きする
記るす	しるす
記号で表す	きごうであらわす
記憶が飛ぶ	きおくがとぶ
記憶にとどめる	きおくにとどめる
記憶に新しい	きおくにあたらしい
記憶に留める	きおくにとどめる
記憶をたどる	きおくをたどる
記憶を辿る	きおくをたどる
記憶力がいい	きおくりょくがいい
記憶力がよい	きおくりょくがよい
記憶力が良い	きおくりょくがよい
記憶違い	きおくちがい
記録に載せる	きろくにのせる
記録をつける	きろくをつける
記録を付ける	きろくをつける
記録を破る	きろくをやぶる
訛ぶ	だぶ
訛む	たむ
訛む	だむ
訛り散らす	なまりちらす
訛る	なまる
訝がる	いぶかしがる
訝しい	いぶかしい
訝しがる	いぶかしがる
訝しむ	いぶかしむ
訝る	いぶかる
訪い	とぶらい
訪う	おとなう
訪う	とう
訪う	とぶらう
訪う	とむらう
訪う	おとなう
訪う	とう
訪う	とぶらう
訪ぬ	たずぬ
訪ねる	たずねる
訪る	おとずる
訪れる	おとずれる
訪れる	おとづれる
訪れる	おとずれる
訪れる	おとづれる
訪れ捨つ	おとずれすつ
設い	しつらい
設える	しつらえる
設く	まく
設ける	もうける
許しがたい	ゆるしがたい
許しを乞う	ゆるしをこう
許しを請う	ゆるしをこう
許し難い	ゆるしがたい
許す	ゆるす
許りが能ではない	ばかりがのうではない
許りでなく	ばかりでなく
許りる	ゆりる
許る	ゆる
許れる	ゆれる
許可を与える	きょかをあたえる
許容仮名遣い	きょようかなづかい
訳しにくい	やくしがたい
訳しにくい	やくしにくい
訳し難い	やくしがたい
訳し難い	やくしにくい
訳じゃない	わけじゃない
訳す	やくす
訳する	やくする
訳合い	わけあい
訳無い	わけない
訳無く	わけなく
訳知らず	わけしらず
訴えかける	うったえかける
訴える	うったえる
訴え出る	うったえでる
診せる	みせる
診てもらう	みてもらう
診て貰う	みてもらう
診る	みる
註する	ちゅうする
証す	あかす
証す	しょうす
証する	しょうする
証を立てる	あかしをたてる
証券引き換え払い	しょうけんひきかえばらい
証券引換え払い	しょうけんひきかえばらい
証拠だてる	しょうこだてる
証拠をつかむ	しょうこをつかむ
証拠を押さえる	しょうこをおさえる
証拠を掴む	しょうこをつかむ
証拠立てる	しょうこだてる
証文を巻く	しょうもんをまく
詐る	いつわる
詐欺る	さぎる
詔つ	のりごつ
評す	ひょうす
評する	ひょうする
評判になる	ひょうばんになる
詛い	のろい
詛う	のろう
詛ふ	とこう
詛ふ	とごう
詛ふ	とこう
詠う	うたう
詠じる	えいじる
詠ず	えいず
詠ずる	えいずる
詠みこむ	よみこむ
詠み人知らず	よみびとしらず
詠み入れる	よみいれる
詠み捨てる	よみすてる
詠み掛ける	よみかける
詠み散らす	よみちらす
詠み熟す	よみこなす
詠み込む	よみこむ
詠む	よむ
詠人知らず	よみびとしらず
詠捨てる	よみすてる
詠込む	よみこむ
詣す	けいす
詣づ	まうず
詣づ	まうづ
詣づ	もうず
詣でる	もうでる
詣る	まいる
試しがない	ためしがない
試しが無い	ためしがない
試し買い	ためしがい
試す	ためす
試みる	こころみる
試む	こころむ
試る	みる
試合に敗れる	しあいにやぶれる
試験ではねられる	しけんではねられる
試験で撥ねられる	しけんではねられる
試験を受ける	しけんをうける
詫びなす	わびなす
詫びる	わびる
詫びをいれる	わびをいれる
詫びを入れる	わびをいれる
詫び入る	わびいる
詫ぶ	わぶ
詫入る	わびいる
詭弁を弄する	きべんをろうする
詮ずる	せんずる
詮ない	せんない
詮方ない	せんかたない
詮方無い	せんかたない
詮無い	せんない
詰ない	つまら
詰ます	つます
詰まらせる	つまらせる
詰まらない	つまらない
詰まらなさそう	つまらなさそう
詰まらなそう	つまらなそう
詰まらぬ	つまらぬ
詰まる	つまる
詰む	つむ
詰めかける	つめかける
詰めが甘い	つめがあまい
詰めきる	つめきる
詰めて通う	つめてかよう
詰めよる	つめよる
詰める	つめる
詰め伏す	つめふす
詰め伏せる	つめふせる
詰め切る	つめきる
詰め合い	つめあい
詰め合う	つめあう
詰め合せる	つめあわせる
詰め合ふ	つめあう
詰め合わせる	つめあわせる
詰め寄せる	つめよせる
詰め寄る	つめよる
詰め掛ける	つめかける
詰め換える	つめかえる
詰め替える	つめかえる
詰め腹を切らされる	つめばらをきらされる
詰め込む	つめこむ
詰め開く	つめひらく
詰らない	つまらない
詰らぬ	つまらぬ
詰る	つまる
詰る	なじる
詰乞い	つめごい
詰切る	つめきる
詰合い	つめあい
詰合う	つめあう
詰寄せる	つめよせる
詰寄る	つめよる
詰掛ける	つめかける
詰換える	つめかえる
詰替える	つめかえる
詰込む	つめこむ
話が付く	はなしがつく
話が分かる	はなしがわかる
話が弾む	はなしがはずむ
話が彈む	はなしがはずむ
